"file","line","kind","method","endpoint_expression","resolved_route_name","resolved_literal_uri","legacy_match"
"public/theme/viar/js/custom.js","663","jquery_ajax","post","""/cart/setuser""","","cart/setuser","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","720","jquery_ajax","post","""/basket/submitbonuses""","","basket/submitbonuses","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","735","jquery_ajax","get","""/cart/clear_coupon""","","cart/clear_coupon","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","790","jquery_ajax","POST","$(this).attr('action')","","",""
"public/theme/viar/js/custom.js","900","fetch","","endpoint","","",""
"public/theme/viar/js/custom.js","1078","fetch","","endpoint","","",""
"public/theme/viar/js/delivery/custom.js","512","jquery_ajax","POST","""/basket/update/count""","","basket/update/count","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","672","jquery_ajax","post","""/cart/setmaking""","","cart/setmaking","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","740","jquery_ajax","post","""/cart/setdelivery""","","cart/setdelivery","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","777","jquery_ajax","post","""/cart/setpay""","","cart/setpay","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","824","jquery_ajax","post","""/cart/setuser""","","cart/setuser","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","862","jquery_ajax","post","""/basket/coupon_use""","","basket/coupon_use","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","888","jquery_ajax","post","""/cart/setmaking""","","cart/setmaking","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","915","jquery_ajax","post","""/basket/remove""","","basket/remove","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","940","jquery_ajax","post","""/cart/delimage""","","cart/delimage","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","977","jquery_ajax","post","""/get_cart""","","get_cart","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","1049","jquery_ajax","post","`/get_towns?country=${country}`","","",""
"public/theme/viar/js/delivery/custom.js","1088","jquery_ajax","post","""/cart/updateimg""","","cart/updateimg","LITERAL_URI_MATCH"
"public/theme/viar/js/delivery/custom.js","1158","jquery_ajax","","","","",""
"public/theme/viar/js/delivery/custom.js","1186","jquery_ajax","post","""/basket/submitbonuses""","","basket/submitbonuses","LITERAL_URI_MATCH"
"public/theme/viar/js/emoj_form.js","27","jquery_ajax","POST","$(this).attr('action')","","",""
"public/theme/viar/js/module.js","354","jquery_ajax","POST","""/get/ram_search""","","get/ram_search","LITERAL_URI_MATCH"
"public/theme/viar/js/module.js","1093","jquery_ajax","POST","""/basket/add/recommended""","","basket/add/recommended","LITERAL_URI_MATCH"
"public/theme/viar/js/module.js","1147","jquery_ajax","POST","""/basket/add/portrait""","","basket/add/portrait","LITERAL_URI_MATCH"
"public/theme/viar/js/new_bot_scripts.js","138","jquery_short","GET","'refresh-csrf').done(function(data) {","","",""
"public/theme/viar/js/new_bot_scripts.js","279","jquery_ajax","POST","'/' + lang + '/basket/add'","","",""
"public/theme/viar/js/oil.js","284","jquery_ajax","POST","""/basket/add/portrait""","","basket/add/portrait","LITERAL_URI_MATCH"
"public/theme/viar/js/oil.js","413","jquery_ajax","POST","""/get/ram_search""","","get/ram_search","LITERAL_URI_MATCH"
"public/theme/viar/js/portrait_calc.js","17497","jquery_ajax","POST","$(this).data('action')","","",""
"public/theme/viar/js/portrait--royal_calc.js","17606","jquery_ajax","POST","$('.js_submit_form').data('action')","","",""
"public/theme/viar/js/record.js","47","fetch","","blobUrl)","","",""
"public/theme/viar/js/royal.js","245","jquery_ajax","POST","""/basket/add/portrait""","","basket/add/portrait","LITERAL_URI_MATCH"
"public/theme/viar/js/royal.js","374","jquery_ajax","POST","""/get/ram_search""","","get/ram_search","LITERAL_URI_MATCH"
"public/theme/viar/js/sharj.js","17702","jquery_ajax","POST","$('.js_submit_form').data('action')","","",""
"public/theme/viar/js/sharj.js","18168","jquery_ajax","POST","""/basket/add/portrait""","","basket/add/portrait","LITERAL_URI_MATCH"
"public/theme/viar/js/sharj.js","18279","jquery_ajax","POST","""/get/ram_search""","","get/ram_search","LITERAL_URI_MATCH"
"public/theme/viar/js/simpsons.js","17609","jquery_ajax","POST","$('.js_submit_form').data('action')","","",""
"public/theme/viar/js/simpsons.js","18060","jquery_ajax","POST","""/basket/add/portrait""","","basket/add/portrait","LITERAL_URI_MATCH"
"public/theme/viar/js/simpsons.js","18168","jquery_ajax","POST","""/get/ram_search""","","get/ram_search","LITERAL_URI_MATCH"
"public/theme/viar/js/stock.js","62","jquery_ajax","POST","""/user/send_dates""","","user/send_dates","LITERAL_URI_MATCH"
"public/theme/viar/js/stock.js","126","jquery_ajax","post","""/send_frend_email""","","send_frend_email","LITERAL_URI_MATCH"
"resources/views/account.blade.php","77","form","POST","{{ route('logout') }}","logout","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","179","jquery_ajax","POST","""{{ route('update_order_chat') }}""","update_order_chat","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","254","jquery_ajax","post","'{{ route('send_client_painter_comments') }}'","send_client_painter_comments","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","345","jquery_ajax","post","'{{ route('update_painter_order_images') }}'","update_painter_order_images","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","412","jquery_ajax","post","'{{ route('update_painter_sketch_order_images') }}'","update_painter_sketch_order_images","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","477","jquery_ajax","post","'{{ route('update_painter_comment') }}'","update_painter_comment","","ROUTE_NAME_MATCH"
"resources/views/account.blade.php","538","jquery_ajax","POST","""{{ url('/ajax_change_information') }}""","","",""
"resources/views/auth/login.blade.php","11","form","POST","{{ route('login') }}","login","","ROUTE_NAME_MATCH"
"resources/views/auth/passwords/confirm.blade.php","13","form","POST","{{ route('password.confirm') }}","password.confirm","","ROUTE_NAME_MATCH"
"resources/views/auth/passwords/email.blade.php","17","form","POST","{{ route('password.email') }}","password.email","","ROUTE_NAME_MATCH"
"resources/views/auth/passwords/reset.blade.php","31","form","POST","{{ route('password.update') }}","password.update","","ROUTE_NAME_MATCH"
"resources/views/auth/register.blade.php","11","form","POST","{{ route('register') }}","register","","ROUTE_NAME_MATCH"
"resources/views/auth/verify.blade.php","19","form","POST","{{ route('verification.resend') }}","verification.resend","","ROUTE_NAME_UNRESOLVED"
"resources/views/gift_card/gift_card.blade.php","86","form","POST","{{ route('send_gift_card') }}","send_gift_card","","ROUTE_NAME_MATCH"
"resources/views/graph_portrait.blade.php","35","form","POST","","","",""
"resources/views/graph_portrait.blade.php","186","jquery_ajax","post","'{{ route('add_future_art') }}'","add_future_art","","ROUTE_NAME_MATCH"
"resources/views/graph_portrait.blade.php","247","jquery_ajax","post","'{{ route('add_item_to_basket') }}'","add_item_to_basket","","ROUTE_NAME_MATCH"
"resources/views/layots/head_combine.blade.php","69","jquery_ajax","POST","route_forget","","",""
"resources/views/layots/head_combine.blade.php","128","jquery_ajax","POST","'/basket/update/count'","","basket/update/count","LITERAL_URI_MATCH"
"resources/views/layots/head_combine.blade.php","164","jquery_ajax","POST","'/user/send_screen'","","user/send_screen","LITERAL_URI_MATCH"
"resources/views/layots/head_combine.blade.php","220","jquery_ajax","POST","$('#routes_links').data('send_dates')","","",""
"resources/views/layots/head_combine.blade.php","286","jquery_ajax","POST","$('#routes_links').data('user_free_img')","","",""
"resources/views/layots/head_combine.blade.php","328","jquery_ajax","POST","$('#routes_links').data('coupon_use')","","",""
"resources/views/layots/head_combine.blade.php","381","jquery_ajax","POST","$('#routes_links').data('send_gift_card')","","",""
"resources/views/layouts/app.blade.php","77","form","POST","{{ route('logout') }}","logout","","ROUTE_NAME_MATCH"
"resources/views/modular-pictures.blade.php","536","jquery_ajax","post","$('#routes_links').data('bask_add_construct')","","",""
"resources/views/partials/account/left_order_info.blade.php","3","form","POST","{{ route('send_client_painter_comments') }}","send_client_painter_comments","","ROUTE_NAME_MATCH"
"resources/views/partials/account/painter_chats.blade.php","26","form","POST","#","","",""
"resources/views/partials/account/painter_images.blade.php","189","form","POST","","","",""
"resources/views/partials/account/painter_images.blade.php","204","form","POST","","","",""
"resources/views/partials/account/painter_images.blade.php","218","form","POST","{{ route('update_painter_comment') }}","update_painter_comment","","ROUTE_NAME_MATCH"
"resources/views/partials/all_styles/center_form.blade.php","1","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/partials/basket/scripts_styles.blade.php","458","jquery_ajax","post","'{{ route('remove_item_from_basket') }}'","remove_item_from_basket","","ROUTE_NAME_MATCH"
"resources/views/partials/blog/scripts.blade.php","21","jquery_ajax","post","'{{ route('load_ajax_posts') }}'","load_ajax_posts","","ROUTE_NAME_MATCH"
"resources/views/partials/canvas/after_gen.blade.php","22","form","POST","","","",""
"resources/views/partials/canvas/top_scripts.blade.php","86","jquery_ajax","post","'{{ route('add_item_to_basket') }}'","add_item_to_basket","","ROUTE_NAME_MATCH"
"resources/views/partials/canvas_new/composition.blade.php","43","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/partials/canvas_new/modals/canv_form.blade.php","1","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/partials/canvas_new/new_bot_scripts.blade.php","143","jquery_short","GET","'refresh-csrf').done(function(data) {","","",""
"resources/views/partials/canvas_new/new_bot_scripts.blade.php","293","jquery_ajax","post","'{{ route('add_item_to_basket') }}'","add_item_to_basket","","ROUTE_NAME_MATCH"
"resources/views/partials/canvas_new/steps.blade.php","102","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/partials/collage_new/footer_scripts.blade.php","10","jquery_ajax","GET","'/collage-js'","","collage-js","LITERAL_URI_MATCH"
"resources/views/partials/collage_new/generator.blade.php","12","form","GET","#","","",""
"resources/views/partials/collage_new/header_js.blade.php","124","jquery_ajax","POST","route_forget","","",""
"resources/views/partials/collage_new/header_js.blade.php","183","jquery_ajax","POST","'/basket/update/count'","","basket/update/count","LITERAL_URI_MATCH"
"resources/views/partials/collage_new/header_js.blade.php","220","jquery_ajax","POST","'/user/send_screen'","","user/send_screen","LITERAL_URI_MATCH"
"resources/views/partials/collage_new/header_js.blade.php","275","jquery_ajax","POST","$('#routes_links').data('send_dates')","","",""
"resources/views/partials/collage_new/header_js.blade.php","325","jquery_ajax","POST","$('#routes_links').data('user_free_img')","","",""
"resources/views/partials/collage_new/header_js.blade.php","365","jquery_ajax","POST","$('#routes_links').data('coupon_use')","","",""
"resources/views/partials/collage_new/header_js.blade.php","418","jquery_ajax","POST","$('#routes_links').data('send_gift_card')","","",""
"resources/views/partials/collage_new/js.blade.php","266","jquery_ajax","POST","route","","",""
"resources/views/partials/collage_new/why_form.blade.php","1","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/partials/collage-constructor/devs.blade.php","232","jquery_ajax","POST","route","","",""
"resources/views/partials/family/devs.blade.php","178","jquery_ajax","post","$('#routes_links').data('bask_add_construct')","","",""
"resources/views/partials/footer_devs.blade.php","19","jquery_ajax","POST","""{{ route('register') }}""","register","","ROUTE_NAME_MATCH"
"resources/views/partials/footer_devs.blade.php","96","jquery_ajax","POST","$(this).attr('action')","","",""
"resources/views/partials/footer_devs.blade.php","129","jquery_ajax","POST","""{{ route('register') }}""","register","","ROUTE_NAME_MATCH"
"resources/views/partials/footer_devs.blade.php","195","jquery_ajax","POST","""{{ route('update_order_chat') }}""","update_order_chat","","ROUTE_NAME_MATCH"
"resources/views/partials/footer_devs.blade.php","307","jquery_ajax","post","'{{ route('add_future_art') }}'","add_future_art","","ROUTE_NAME_MATCH"
"resources/views/partials/gallery_item/compositions.blade.php","11","form","POST","","","",""
"resources/views/partials/gallery_item/devs.blade.php","391","jquery_ajax","POST","route","","",""
"resources/views/partials/grap_styl_paint_send.blade.php","218","jquery_ajax","POST","route","","",""
"resources/views/partials/grap_styl_paint_send.blade.php","322","jquery_ajax","POST","route","","",""
"resources/views/partials/head_devs.blade.php","436","jquery_short","GET","'refresh-csrf').done(function(data) {","","",""
"resources/views/partials/index_new/emoj_4_5.blade.php","24","form","POST","{{ route('send_photo_form') }}","send_photo_form","","ROUTE_NAME_MATCH"
"resources/views/partials/index_new/modals.blade.php","35","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/partials/index_new/send_rev.blade.php","73","form","POST","{{ route('user_send_rev', app()->getLocale()) }}","user_send_rev","","ROUTE_NAME_MATCH"
"resources/views/partials/index_new/why7_form.blade.php","1","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/partials/modals.blade.php","129","form","POST","{{ route('register') }}","register","","ROUTE_NAME_MATCH"
"resources/views/partials/modals.blade.php","184","form","POST","{{ route('custom_login_ajax') }}","custom_login_ajax","","ROUTE_NAME_MATCH"
"resources/views/partials/modals.blade.php","212","form","GET","{{ route('forget_email_reset') }}","forget_email_reset","","ROUTE_NAME_MATCH"
"resources/views/partials/modals.blade.php","247","form","POST","#","","",""
"resources/views/partials/modals.blade.php","275","form","GET","?","","",""
"resources/views/partials/modals.blade.php","298","form","POST","?","","",""
"resources/views/partials/modals.blade.php","321","form","POST","?","","",""
"resources/views/partials/portrait_new/modals.blade.php","4","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/partials/simpsons/modals.blade.php","4","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/portrait_new.blade.php","230","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/recovery.blade.php","32","form","POST","{{ route('cart.recover.process') }}","cart.recover.process","","ROUTE_NAME_UNRESOLVED"
"resources/views/send_rev.blade.php","72","form","POST","{{ route('user_send_rev', app()->getLocale()) }}","user_send_rev","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/menu.blade.php","23","form","POST","{{ route('logout') }}","logout","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/o_chat_img.blade.php","112","form","POST","","","",""
"resources/views/theme/viar/account/o_chat_img.blade.php","211","form","POST","","","",""
"resources/views/theme/viar/account/o_chat_img_copy.blade.php","57","form","POST","","","",""
"resources/views/theme/viar/account/o_chat_img_copy.blade.php","141","form","POST","","","",""
"resources/views/theme/viar/account/o_client_chat.blade.php","2","form","POST","{{ route('new_send_client_painter_comments') }}","new_send_client_painter_comments","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/o_painter_chat.blade.php","5","form","POST","#","","",""
"resources/views/theme/viar/account/o_painter_chat.blade.php","146","form","POST","#","","",""
"resources/views/theme/viar/account/order.blade.php","707","jquery_ajax","post","'{{ route('new_send_client_painter_comments') }}'","new_send_client_painter_comments","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order.blade.php","831","jquery_ajax","post","'{{ route('new_update_painter_order_images') }}'","new_update_painter_order_images","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order.blade.php","899","jquery_ajax","post","'{{ route('new_update_painter_sketch_order_images') }}'","new_update_painter_sketch_order_images","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order.blade.php","969","jquery_ajax","POST","route","","",""
"resources/views/theme/viar/account/order.blade.php","1050","jquery_ajax","POST","""{{ route('new_update_order_chat') }}""","new_update_order_chat","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order.blade.php","1120","jquery_ajax","post","routeName","","",""
"resources/views/theme/viar/account/order.blade.php","1154","jquery_ajax","post","""{{ route('new_message_read') }}""","new_message_read","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order.blade.php","1185","jquery_ajax","POST","""{{ route('new_send_client_painter_comments') }}""","new_send_client_painter_comments","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/order_payment.blade.php","260","form","POST","{{ route('new_account.order_payment.start', ['order' => $order->id]) }}","new_account.order_payment.start","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/account/settings.blade.php","21","form","GET","#","","",""
"resources/views/theme/viar/account/settings.blade.php","248","jquery_ajax","POST","""{{ route('new_account.ajax_change_information') }}""","new_account.ajax_change_information","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/cart/modals/alternative_size_modal.blade.php","267","fetch","","'{{ route(""cart.replace.size"") }}'","cart.replace.size","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/cart/modals/recommendation_modal.blade.php","427","fetch","","'{{ route(""cart.add.recommended"") }}'","cart.add.recommended","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/layouts/app.blade.php","836","jquery_ajax","GET","'/collage-js'","","collage-js","LITERAL_URI_MATCH"
"resources/views/theme/viar/modals/login_reg_res.blade.php","2","form","POST","{{ route('custom_login_ajax') }}","custom_login_ajax","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/modals/login_reg_res.blade.php","71","form","POST","{{ route('custom_register_ajax') }}","custom_register_ajax","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/modals/login_reg_res.blade.php","201","form","POST","{{ route('forget_email_reset') }}","forget_email_reset","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/modals/login_reg_res.blade.php","226","form","POST","{{ route('cart.set-email') }}","cart.set-email","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/modals/quiz_form.blade.php","1","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/modals/target-box.blade.php","213","form","GET","{{ route('why_are_you_leaving_questions') }}","why_are_you_leaving_questions","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/canvas/composition.blade.php","43","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/canvas/modals/canv_form.blade.php","1","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/canvas/steps.blade.php","117","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/collage/footer_scripts.blade.php","10","jquery_ajax","GET","'/collage-js'","","collage-js","LITERAL_URI_MATCH"
"resources/views/theme/viar/pages/collage/generator.blade.php","17","form","GET","#","","",""
"resources/views/theme/viar/pages/collage/header_js.blade.php","124","jquery_ajax","POST","route_forget","","",""
"resources/views/theme/viar/pages/collage/header_js.blade.php","183","jquery_ajax","POST","'/basket/update/count'","","basket/update/count","LITERAL_URI_MATCH"
"resources/views/theme/viar/pages/collage/header_js.blade.php","219","jquery_ajax","POST","'/user/send_screen'","","user/send_screen","LITERAL_URI_MATCH"
"resources/views/theme/viar/pages/collage/header_js.blade.php","273","jquery_ajax","POST","$('#routes_links').data('send_dates')","","",""
"resources/views/theme/viar/pages/collage/header_js.blade.php","323","jquery_ajax","POST","$('#routes_links').data('user_free_img')","","",""
"resources/views/theme/viar/pages/collage/header_js.blade.php","363","jquery_ajax","POST","$('#routes_links').data('coupon_use')","","",""
"resources/views/theme/viar/pages/collage/header_js.blade.php","416","jquery_ajax","POST","$('#routes_links').data('send_gift_card')","","",""
"resources/views/theme/viar/pages/collage/js.blade.php","271","jquery_ajax","POST","route","","",""
"resources/views/theme/viar/pages/collage/why_form.blade.php","1","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/gallery/item-card-module.blade.php","65","form","GET","#","","",""
"resources/views/theme/viar/pages/gallery/item-card-reproduction.blade.php","54","form","GET","#","","",""
"resources/views/theme/viar/pages/gallery/reproduction_tabs_century.blade.php","3","form","GET","{{ route(","","",""
"resources/views/theme/viar/pages/gallery/reproduction_tabs_genre.blade.php","3","form","GET","{{ route(","","",""
"resources/views/theme/viar/pages/gallery/reproduction_tabs_nation.blade.php","4","form","GET","{{ route(","","",""
"resources/views/theme/viar/pages/gallery/reproduction_tabs_painters.blade.php","84","form","GET","{{ route(","","",""
"resources/views/theme/viar/pages/gallery/reproduction_tabs_style.blade.php","4","form","GET","{{ route(","","",""
"resources/views/theme/viar/pages/gallery/zpart_catalog.blade.php","406","form","GET","{{ route('hb.gallery.category', [$page->url, $category->url ]) }}","hb.gallery.category","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/gallery/zpart_catalog.blade.php","408","form","GET","{{ route('hb.gallery.module', $page->url) }}","hb.gallery.module","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/index/emoj_4_5.blade.php","33","form","POST","{{ route('send_photo_form') }}","send_photo_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/index/modals.blade.php","26","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/index/send_rev.blade.php","73","form","POST","{{ route('user_send_rev', app()->getLocale()) }}","user_send_rev","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/index/why7_form.blade.php","9","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/modular-generator/index.blade.php","461","form","GET","#","","",""
"resources/views/theme/viar/pages/modular-generator/index.blade.php","1437","jquery_ajax","post","'{{ route('add_item_to_basket_construct') }}'","add_item_to_basket_construct","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/portrait.blade.php","214","form","POST","{{ route('send_all_styles_form') }}","send_all_styles_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/portrait/modals.blade.php","4","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/review/index.blade.php","106","form","POST","{{ route('review.store') }}","review.store","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/review/index.blade.php","386","jquery_ajax","$(this).attr(","$(this).attr('action')","","",""
"resources/views/theme/viar/pages/send_rev/index.blade.php","106","form","POST","{{ route('review.store') }}","review.store","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/send_rev/index.blade.php","381","jquery_ajax","$(this).attr(","$(this).attr('action')","","",""
"resources/views/theme/viar/pages/sharj/form.blade.php","4","form","GET","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/simpsons/index.blade.php","1240","form","GET","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/simpsons/index2.blade.php","1182","form","GET","#","","",""
"resources/views/theme/viar/pages/simpsons/index2.blade.php","2472","form","POST","#","","",""
"resources/views/theme/viar/pages/simpsons/index2.blade.php","2980","form","POST","#","","",""
"resources/views/theme/viar/pages/simpsons/index2.blade.php","3034","form","POST","#","","",""
"resources/views/theme/viar/pages/stocks/modals.blade.php","55","form","POST","{{ route('send_photo_portrait_form') }}","send_photo_portrait_form","","ROUTE_NAME_MATCH"
"resources/views/theme/viar/pages/stocks/modals.blade.php","828","form","POST","#","","",""
"resources/views/theme/viar/pages/stocks/modals.blade.php","1099","jquery_ajax","POST","'/stocks/create_coupon'","","stocks/create_coupon","LITERAL_URI_MATCH"
"resources/views/theme/viar/pages/stocks/modals.blade.php","1159","jquery_ajax","POST","'/user/send_screen/'","","user/send_screen","LITERAL_URI_MATCH"
"resources/views/theme/viar/pages/stocks/modals.blade.php","1217","jquery_ajax","POST","'/user/send_screen'","","user/send_screen","LITERAL_URI_MATCH"
"resources/views/theme/viar/payment_request/show.blade.php","253","form","POST","{{ route('payment_request.start', ['token' => $paymentRequest->token]) }}","payment_request.start","","ROUTE_NAME_MATCH"
