data_row_id,data_type_id,slug,legacy_table,legacy_model,field,voyager_type,display_name,required,browse,read,edit,add,delete,order,proposed_form_component,proposed_table_component,relationship_model,relationship_table,relationship_type,relationship_column,relationship_key,relationship_label,pivot_table,validation_rule,options_json,details_sha256,details_json,migration_notes
957,1,users,users,"TCG\Voyager\Models\User",bonuses,number,Буносы,0,1,1,1,1,1,18,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
11,1,users,users,"TCG\Voyager\Models\User",settings,hidden,Settings,0,0,0,0,0,0,19,"Hidden only when server-owned; otherwise omit","Hidden by default",,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
119,1,users,users,"TCG\Voyager\Models\User",ad,text,Ad,0,0,0,0,0,0,20,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
120,1,users,users,"TCG\Voyager\Models\User",client_data,text,"Client Data",0,0,0,0,0,0,21,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
966,1,users,users,"TCG\Voyager\Models\User",inv_sale_code,text,"Inv Sale Code",0,0,1,1,1,1,22,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
972,1,users,users,"TCG\Voyager\Models\User",is_facebook_sale,text,"Скидка Facebook",0,0,1,1,1,1,23,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
149,1,users,users,"TCG\Voyager\Models\User",user_belongsto_user_type_relationship,relationship,Тип,0,1,1,1,1,1,24,"Select/CheckboxList or RelationManager from details","TextColumn via eager-loaded relation","App\Entity\UserType",user_types,belongsTo,type_id,id,name,data_rows,,,806368c487bc1f33f41adfa5b46591a4abbe209eac9e2920adaa3818f841866f,"{""model"":""App\\Entity\\UserType"",""table"":""user_types"",""type"":""belongsTo"",""column"":""type_id"",""key"":""id"",""label"":""name"",""pivot_table"":""data_rows"",""pivot"":""0"",""taggable"":""0""}","eager-load and scope relation; preserve null/orphan/pivot behavior"
980,1,users,users,"TCG\Voyager\Models\User",date1,date,Дата-1,0,0,1,1,1,1,25,DatePicker,TextColumn(date),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
982,1,users,users,"TCG\Voyager\Models\User",date2,date,Дата-2,0,0,1,1,1,1,26,DatePicker,TextColumn(date),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1255,1,users,users,"TCG\Voyager\Models\User",active_coupon,text,"Активный купон",0,0,1,1,1,1,27,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
981,1,users,users,"TCG\Voyager\Models\User",torj1,text,Торжество-1,0,0,1,1,1,1,28,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1256,1,users,users,"TCG\Voyager\Models\User",client_status,text,"Статус клиента",0,0,1,1,1,1,29,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
983,1,users,users,"TCG\Voyager\Models\User",torj2,text,Торжество-2,0,0,1,1,1,1,30,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1257,1,users,users,"TCG\Voyager\Models\User",dates_notified,number,"Получил оповещение 1 дата",0,0,1,1,1,1,31,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1263,1,users,users,"TCG\Voyager\Models\User",dates_notified2,number,"Получил оповещение 2 дата",0,0,1,1,1,1,32,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
134,1,users,users,"TCG\Voyager\Models\User",status,text,Статус,0,0,1,1,1,1,33,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1274,1,users,users,"TCG\Voyager\Models\User",postal_index,text,"Почтовый индекс",0,0,1,1,1,1,34,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1275,1,users,users,"TCG\Voyager\Models\User",country,text,Страна,0,0,1,1,1,1,35,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1319,1,users,users,"TCG\Voyager\Models\User",is_active_friend_inv,number,"Купон за приглашение друга активен?",0,1,1,1,1,1,35,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
121,1,users,users,"TCG\Voyager\Models\User",email_verified_at,timestamp,"Email Verified At",0,0,1,1,1,1,36,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1453,1,users,users,"TCG\Voyager\Models\User",has_sale_20eur,text,"Has Sale 20eur",0,1,1,1,1,1,36,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1454,1,users,users,"TCG\Voyager\Models\User",is_coupon_dates,text,"Is Coupon Dates",0,1,1,1,1,1,37,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1455,1,users,users,"TCG\Voyager\Models\User",city,text,Город,0,1,1,1,1,1,38,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1496,1,users,users,"TCG\Voyager\Models\User",nick,text,Никнейм,0,1,1,1,1,1,39,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1926,1,users,users,"TCG\Voyager\Models\User",used_universal_coupon,text,"Used Universal Coupon",0,1,1,1,1,1,40,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1927,1,users,users,"TCG\Voyager\Models\User",facebook_id,text,"Facebook Id",0,1,1,1,1,1,41,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
12,2,menus,menus,"TCG\Voyager\Models\Menu",id,number,ID,1,0,0,0,0,0,1,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"required; omit from UI unless server-side lifecycle requires it"
13,2,menus,menus,"TCG\Voyager\Models\Menu",name,text,Имя,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
14,2,menus,menus,"TCG\Voyager\Models\Menu",created_at,timestamp,"Дата создания",0,0,0,0,0,0,3,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
15,2,menus,menus,"TCG\Voyager\Models\Menu",updated_at,timestamp,"Дата обновления",0,0,0,0,0,0,4,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
16,3,roles,roles,"TCG\Voyager\Models\Role",id,number,ID,1,0,0,0,0,0,1,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"required; omit from UI unless server-side lifecycle requires it"
17,3,roles,roles,"TCG\Voyager\Models\Role",name,text,Имя,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
18,3,roles,roles,"TCG\Voyager\Models\Role",created_at,timestamp,"Дата создания",0,0,0,0,0,0,3,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
19,3,roles,roles,"TCG\Voyager\Models\Role",updated_at,timestamp,"Дата обновления",0,0,0,0,0,0,4,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
20,3,roles,roles,"TCG\Voyager\Models\Role",display_name,text,"Отображаемое имя",1,1,1,1,1,1,5,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
28,5,locales,locales,"App\Models\Locale",id,text,Id,1,0,0,0,0,0,1,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"required; omit from UI unless server-side lifecycle requires it"
29,5,locales,locales,"App\Models\Locale",prefix,text,Prefix,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
30,5,locales,locales,"App\Models\Locale",name,text,Name,1,1,1,1,1,1,3,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
31,5,locales,locales,"App\Models\Locale",created_at,timestamp,"Created At",0,0,0,0,0,0,4,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
32,5,locales,locales,"App\Models\Locale",updated_at,timestamp,"Updated At",0,0,0,0,0,0,5,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
33,6,pages,pages,"App\Models\Page",id,text,Id,1,1,0,0,0,0,1,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
34,6,pages,pages,"App\Models\Page",title,text,Заголовок,0,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
37,6,pages,pages,"App\Models\Page",url,text,Url,0,1,1,1,1,1,3,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
1472,6,pages,pages,"App\Models\Page",meta_title,text,"Мета заголовок",0,1,1,1,1,1,4,TextInput,TextColumn,,,,,,,,max:255,,d6f93a8f833374b96cf5bf1e2d34aeaa6d6baab96b489b4b3b4714dd03ba73d9,"{""validation"":{""rule"":""max:255""}}",
36,6,pages,pages,"App\Models\Page",meta_description,text,"Мета описание",0,1,1,1,1,1,5,TextInput,TextColumn,,,,,,,,max:255,,d6f93a8f833374b96cf5bf1e2d34aeaa6d6baab96b489b4b3b4714dd03ba73d9,"{""validation"":{""rule"":""max:255""}}",
2065,6,pages,pages,"App\Models\Page",video_img,image,"Video Img",0,1,1,1,1,1,7,"FileUpload(image) with legacy-path adapter",ImageColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"preserve existing URLs and derivatives; validate real MIME/decode/size/path"
2066,6,pages,pages,"App\Models\Page",video_file,file,"Video File",0,1,1,1,1,1,8,"FileUpload with MIME/size/path allowlist","File link Action with policy",,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"preserve existing URLs and derivatives; validate real MIME/decode/size/path"
39,6,pages,pages,"App\Models\Page",created_at,timestamp,"Created At",0,0,0,0,0,0,9,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
40,6,pages,pages,"App\Models\Page",updated_at,timestamp,"Updated At",0,0,0,0,0,0,10,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
41,7,gallery-types,gallery_types,"App\Models\GalleryType",id,text,Id,1,1,1,0,0,0,1,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
42,7,gallery-types,gallery_types,"App\Models\GalleryType",name,text,Name,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
100,7,gallery-types,gallery_types,"App\Models\GalleryType",url,text,Url,0,1,1,1,1,1,3,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
43,7,gallery-types,gallery_types,"App\Models\GalleryType",active,checkbox,Active,1,1,1,1,1,1,4,"Toggle or Checkbox",IconColumn(boolean),,,,,,,,,,7a6afcf23b3d377d8fe53898a75f0ae67071a3b870c7b7822ba997df3458ae8e,"{""on"":""On"",""off"":""Off"",""checked"":""YES""}",required
796,7,gallery-types,gallery_types,"App\Models\GalleryType",price_var,text,"Множитель цены/размера",0,1,1,1,1,1,5,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
44,7,gallery-types,gallery_types,"App\Models\GalleryType",created_at,timestamp,"Created At",0,1,0,0,0,0,6,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
45,7,gallery-types,gallery_types,"App\Models\GalleryType",updated_at,timestamp,"Updated At",0,0,0,0,0,0,7,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
52,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",gallery_category_belongsto_gallery_type_relationship,relationship,Тип,0,1,1,1,1,1,1,"Select/CheckboxList or RelationManager from details","TextColumn via eager-loaded relation","App\GalleryType",gallery_types,belongsTo,id_type,id,name,data_rows,,,43593113d58cddfa3cba322e305330be8fcdf184cdb318e8d0d7d7ab4019cae2,"{""model"":""App\\GalleryType"",""table"":""gallery_types"",""type"":""belongsTo"",""column"":""id_type"",""key"":""id"",""label"":""name"",""pivot_table"":""data_rows"",""pivot"":""0"",""taggable"":""0""}","eager-load and scope relation; preserve null/orphan/pivot behavior"
46,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",id,text,Id,1,0,0,0,0,0,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"required; omit from UI unless server-side lifecycle requires it"
2104,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",meta_title,text,"Meta Title",0,1,1,1,1,1,3,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
2105,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",meta_description,text,"Meta Description",0,1,1,1,1,1,4,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
2101,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",image,image,Image,0,1,1,1,1,1,5,"FileUpload(image) with legacy-path adapter",ImageColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"preserve existing URLs and derivatives; validate real MIME/decode/size/path"
2102,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",images_slider,multiple_images,"Images Slider",0,1,1,1,1,1,6,"FileUpload(multiple) with legacy-path adapter","Image/File count column",,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"preserve existing URLs and derivatives; validate real MIME/decode/size/path"
48,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",name,text,Name,1,1,1,1,1,1,7,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
2107,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",painter_character,text,"Painter Character",0,1,1,1,1,1,8,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
101,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",url,text,Url,0,1,1,1,1,1,9,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
47,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",id_type,select_dropdown,"Id Type",0,1,1,1,1,1,10,"Select with explicit options",TextColumn/badge,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
49,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",active,checkbox,Active,1,1,1,1,1,1,11,"Toggle or Checkbox",IconColumn(boolean),,,,,,,,,,7a6afcf23b3d377d8fe53898a75f0ae67071a3b870c7b7822ba997df3458ae8e,"{""on"":""On"",""off"":""Off"",""checked"":""YES""}",required
2106,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",is_painter,checkbox,Художник,0,1,1,1,1,1,12,"Toggle or Checkbox",IconColumn(boolean),,,,,,,,,,5a5a320085bfa5b84bdbc6d87307c477ad66f865eeac8e5f034adfb071711d34,"{""on"":""Да"",""off"":""Нет"",""checked"":""Да""}",
2108,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",painter_is_modern,checkbox,"Современный художник",0,1,1,1,1,1,13,"Toggle or Checkbox",IconColumn(boolean),,,,,,,,,,5a5a320085bfa5b84bdbc6d87307c477ad66f865eeac8e5f034adfb071711d34,"{""on"":""Да"",""off"":""Нет"",""checked"":""Да""}",
2109,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",painter_top20,checkbox,"Художник Top20",0,1,1,1,1,1,14,"Toggle or Checkbox",IconColumn(boolean),,,,,,,,,,5a5a320085bfa5b84bdbc6d87307c477ad66f865eeac8e5f034adfb071711d34,"{""on"":""Да"",""off"":""Нет"",""checked"":""Да""}",
2103,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",description,rich_text_box,Description,0,1,1,1,1,1,15,"RichEditor with explicit HTML allowlist","TextColumn(html disabled by default)",,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"trusted-content allowlist and XSS/CSP review"
50,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",created_at,timestamp,"Created At",0,1,0,0,0,0,16,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
51,8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",updated_at,timestamp,"Updated At",0,0,0,0,0,0,17,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
53,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",id,text,Id,1,1,0,0,0,0,1,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
54,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",size,text,Size,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
55,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",price,number,Price,1,1,1,1,1,1,3,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
56,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",created_at,timestamp,"Created At",0,1,0,0,0,0,4,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
2080,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",height,text,Height,0,1,1,1,1,1,5,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
2081,9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",length,text,Length,0,1,1,1,1,1,6,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
