menu_item_id,status,title,legacy_path,parent_id,order,legacy_route,legacy_url,legacy_target,legacy_icon,matched_slug,target_surface,proposed_target_class,navigation_group,visibility_contract,authorization_contract,disposition,required_test
171,1,"Все стили","Все стили",,8,,,_self,voyager-file-text,,"Navigation group","AdminPanelProvider navigationGroups()","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
174,1,"Меню в подвале","Все стили > Меню в подвале",171,2,voyager.footer-menu.index,,_self,,footer-menu,Resource,"App\Filament\Clusters\Content\Resources\FooterMenuResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
173,1,"Меню в шапке","Все стили > Меню в шапке",171,1,voyager.header-menu.index,,_self,,header-menu,Resource,"App\Filament\Clusters\Content\Resources\HeaderMenuResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
176,1,"По фото","Все стили > По фото",171,3,,/admin/all-styles/2/edit,_self,,all-styles,Resource,"App\Filament\Clusters\Catalog\Resources\AllStylesResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
247,1,"Страница все стили","Все стили > Страница все стили",171,6,voyager.all-styles-page.index,,_self,,all-styles-page,Resource,"App\Filament\Clusters\Content\Resources\AllStylesPageResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
175,1,Форма,"Все стили > Форма",171,4,,/admin/all-style-form/1/edit,_self,,all-style-form,Resource,"App\Filament\Clusters\Catalog\Resources\AllStyleFormResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
177,1,"Форма - шаги","Все стили > Форма - шаги",171,5,voyager.all-style-form-step-items.index,,_self,,all-style-form-step-items,Resource,"App\Filament\Clusters\Catalog\Resources\AllStyleFormStepItemsResource","Все стили","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
109,1,ГАЛЕРЕЯ,ГАЛЕРЕЯ,,9,,,_self,voyager-categories,,"Navigation group","AdminPanelProvider navigationGroups()",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
246,1,Век,"ГАЛЕРЕЯ > Век",109,10,voyager.a-gallery-age.index,,_self,,a-gallery-age,Resource,"App\Filament\Clusters\Catalog\Resources\AGalleryAgeResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
57,1,"Все Товары Г+П","ГАЛЕРЕЯ > Все Товары Г+П",109,7,voyager.gallery-items.index,,_self,,gallery-items,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryItemsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
243,1,Жанры,"ГАЛЕРЕЯ > Жанры",109,8,voyager.a-gallery-genre.index,,_self,,a-gallery-genre,Resource,"App\Filament\Clusters\Catalog\Resources\AGalleryGenreResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
245,1,Национальности,"ГАЛЕРЕЯ > Национальности",109,9,voyager.a-gallery-nationality.index,,_self,,a-gallery-nationality,Resource,"App\Filament\Clusters\Catalog\Resources\AGalleryNationalityResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
51,1,Параметры,"ГАЛЕРЕЯ > Параметры",109,12,,,_self,voyager-list,,"Navigation group","AdminPanelProvider navigationGroups()",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
82,1,Интерьеры,"ГАЛЕРЕЯ > Параметры > Интерьеры",51,9,voyager.canvas-interiers.index,,_self,,canvas-interiers,Resource,"App\Filament\Clusters\Catalog\Resources\CanvasInteriersResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
50,1,Категории,"ГАЛЕРЕЯ > Параметры > Категории",51,2,voyager.gallery-categories.index,,_self,,gallery-categories,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryCategoriesResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
240,1,"Материал рамы","ГАЛЕРЕЯ > Параметры > Материал рамы",51,12,voyager.canvas-rams-materials.index,,_self,,canvas-rams-materials,Resource,"App\Filament\Clusters\Catalog\Resources\CanvasRamsMaterialsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
60,1,Оформления,"ГАЛЕРЕЯ > Параметры > Оформления",51,8,voyager.gallery-decorations.index,,_self,,gallery-decorations,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryDecorationsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
52,1,Размеры,"ГАЛЕРЕЯ > Параметры > Размеры",51,3,voyager.gallery-sizes.index,,_self,,gallery-sizes,Resource,"App\Filament\Clusters\Catalog\Resources\GallerySizesResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
84,1,Рамы,"ГАЛЕРЕЯ > Параметры > Рамы",51,10,voyager.canvas-rams.index,,_self,,canvas-rams,Resource,"App\Filament\Clusters\Catalog\Resources\CanvasRamsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
55,1,"Теги помещения","ГАЛЕРЕЯ > Параметры > Теги помещения",51,6,voyager.gallery-tag-rooms.index,,_self,,gallery-tag-rooms,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryTagRoomsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
49,1,Типы,"ГАЛЕРЕЯ > Параметры > Типы",51,1,voyager.gallery-types.index,,_self,,gallery-types,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryTypesResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
54,1,Упаковки,"ГАЛЕРЕЯ > Параметры > Упаковки",51,5,voyager.gallery-boxes.index,,_self,,gallery-boxes,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryBoxesResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
53,1,Холсты,"ГАЛЕРЕЯ > Параметры > Холсты",51,4,voyager.gallery-holsts.index,,_self,,gallery-holsts,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryHolstsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
239,1,"Цвет рамы","ГАЛЕРЕЯ > Параметры > Цвет рамы",51,11,voyager.canvas-rams-colors.index,,_self,,canvas-rams-colors,Resource,"App\Filament\Clusters\Catalog\Resources\CanvasRamsColorsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
56,1,Цвета,"ГАЛЕРЕЯ > Параметры > Цвета",51,7,voyager.gallery-tag-colors.index,,_self,,gallery-tag-colors,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryTagColorsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
153,1,"Слайдер - модульные","ГАЛЕРЕЯ > Слайдер - модульные",109,2,voyager.slider-mod.index,,_self,,slider-mod,Resource,"App\Filament\Clusters\Content\Resources\SliderModResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
155,1,"Слайдер - репродукция","ГАЛЕРЕЯ > Слайдер - репродукция",109,1,voyager.slider-repr.index,,_self,,slider-repr,Resource,"App\Filament\Clusters\Content\Resources\SliderReprResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
154,1,"Слайдер - фото","ГАЛЕРЕЯ > Слайдер - фото",109,3,voyager.slider-photo.index,,_self,,slider-photo,Resource,"App\Filament\Clusters\Content\Resources\SliderPhotoResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
244,1,Стили,"ГАЛЕРЕЯ > Стили",109,11,voyager.a-gallery-style.index,,_self,,a-gallery-style,Resource,"App\Filament\Clusters\Catalog\Resources\AGalleryStyleResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
137,1,"Товары Модульные картины","ГАЛЕРЕЯ > Товары Модульные картины",109,4,,/admin/gallery-items/?type=2,_self,,gallery-items,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryItemsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
136,1,"Товары Репродукция","ГАЛЕРЕЯ > Товары Репродукция",109,5,,/admin/gallery-items?type=4,_self,,gallery-items,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryItemsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
138,1,"Товары Фотокартины","ГАЛЕРЕЯ > Товары Фотокартины",109,6,,/admin/gallery-items?type=3,_self,,gallery-items,Resource,"App\Filament\Clusters\Catalog\Resources\GalleryItemsResource",ГАЛЕРЕЯ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
181,1,"ГЛАВНАЯ 2","ГЛАВНАЯ 2",,6,,,_self,voyager-file-text,,"Navigation group","AdminPanelProvider navigationGroups()","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
184,1,"Newhome Work Exes","ГЛАВНАЯ 2 > Newhome Work Exes",181,4,voyager.newhome-work-ex.index,,_self,,newhome-work-ex,Resource,"App\Filament\Clusters\Content\Resources\NewhomeWorkExResource","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
63,1,"Главная страница","ГЛАВНАЯ 2 > Главная страница",181,1,,/admin/homepage-options/1/edit,_self,voyager-home,homepage-options,Resource,"App\Filament\Clusters\Content\Resources\HomepageOptionsResource","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
182,1,Переводы,"ГЛАВНАЯ 2 > Переводы",181,6,,/admin/translations/view/homepage_new,_self,,translations,"Translation manager Page","App\Filament\Clusters\Translations\Pages\TranslationManager","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_versioned_publisher,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
186,1,Попапы,"ГЛАВНАЯ 2 > Попапы",181,7,,/admin/translations/view/homepage_new_login_reg,_self,,translations,"Translation manager Page","App\Filament\Clusters\Translations\Pages\TranslationManager","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_versioned_publisher,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
180,1,Слайдер,"ГЛАВНАЯ 2 > Слайдер",181,2,voyager.newhome-top-slider.index,,_self,,newhome-top-slider,Resource,"App\Filament\Clusters\Content\Resources\NewhomeTopSliderResource","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
185,1,"Топ продаж","ГЛАВНАЯ 2 > Топ продаж",181,5,voyager.newhome-top-work-ex.index,,_self,,newhome-top-work-ex,Resource,"App\Filament\Clusters\Content\Resources\NewhomeTopWorkExResource","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
183,1,Услуги,"ГЛАВНАЯ 2 > Услуги",181,3,voyager.newhome-services.index,,_self,,newhome-services,Resource,"App\Filament\Clusters\Catalog\Resources\NewhomeServicesResource","ГЛАВНАЯ 2","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
126,1,"Групповые образы","Групповые образы",124,2,voyager.styl-page-port-goup-obr.index,,_self,,styl-page-port-goup-obr,Resource,"App\Filament\Clusters\Content\Resources\StylPagePortGoupObrResource","Групповые образы","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
58,1,ЗАКАЗЫ,ЗАКАЗЫ,,4,voyager.orders.index,,_self,voyager-basket,orders,"Specialized Resource + Pages/Actions","App\Filament\Clusters\Crm\Resources\OrderResource",ЗАКАЗЫ,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
5,1,Инструменты,Инструменты,,11,,,_self,voyager-tools,,"Navigation group","AdminPanelProvider navigationGroups()",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
9,1,BREAD,"Инструменты > BREAD",5,10,voyager.bread.index,,_self,voyager-bread,bread,"No runtime BREAD builder","Explicit Git-versioned Resources",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",retire_security_exception,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
8,1,Compass,"Инструменты > Compass",5,9,voyager.compass.index,,_self,voyager-compass,compass,"No production developer console","Local/staging diagnostics only",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",retire_security_exception,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
7,1,"База данных","Инструменты > База данных",5,8,voyager.database.index,,_self,voyager-data,database,"No production schema editor","Reviewed migrations / CLI only",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",retire_security_exception,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
188,1,Другое,"Инструменты > Другое",5,11,,,_self,,,"Navigation group","AdminPanelProvider navigationGroups()",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
66,1,"Другое - Главная страница","Инструменты > Другое - Главная страница",5,6,,,_self,voyager-bread,,"Navigation group","AdminPanelProvider navigationGroups()",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
156,1,"Карта сайта","Инструменты > Карта сайта",5,7,,/admin/sitemap,_self,,sitemap,"SEO diagnostics Page","App\Filament\Clusters\Seo\Pages\SitemapDiagnostics",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",replace_redirect_only_item,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
6,1,"Конструктор Меню","Инструменты > Конструктор Меню",5,5,voyager.menus.index,,_self,voyager-list,menus,Resource,"App\Filament\Clusters\Content\Resources\MenusResource",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
2,1,Медиа,"Инструменты > Медиа",5,1,voyager.media.index,,_self,voyager-images,media,"Restricted Media Page","App\Filament\Pages\MediaManager",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",replace_unrestricted_voyager_media,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
10,1,Настройки,"Инструменты > Настройки",5,4,voyager.settings.index,,_self,voyager-settings,settings,"Typed Settings Page","App\Filament\Pages\Settings",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",replace_generic_settings_editor,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
152,1,"Настройки сайта","Инструменты > Настройки сайта",5,3,,/admin/glob-config/1/edit,_self,voyager-pie-graph,glob-config,Resource,"App\Filament\Clusters\Content\Resources\GlobConfigResource",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
102,1,"Очистка кеша","Инструменты > Очистка кеша",5,2,,/admin/cache/clear,_self,,cache,"Restricted Operations Action","App\Filament\Pages\Operations",Инструменты,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",replace_get_mutation,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
121,1,"КАНВА И КОЛЛАЖ","КАНВА И КОЛЛАЖ",,7,,,_self,voyager-categories,,"Navigation group","AdminPanelProvider navigationGroups()","КАНВА И КОЛЛАЖ","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_group,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
